,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
400,GRASS PLANTS,Grass,Alfalfa,-,46.72,5.90,35.61,52.95,6.69,40.36,0.2908,0.1276,0.0022,0.3017,0.0464,0.0,0.2314,0.08899795182158424,0.013491978216251565
401,WOOD PLANTS,Softwood,Birch,Log,-,-,-,48.5,5.9,45.6,0.4360,0.2935,0.0002,0.1708,0.0045,0.0068,0.0883,0.14449098639611063,0.027874918578478576
402,WOOD PLANTS,Softwood,Larch,Log,-,-,-,52.1,6.4,41.5,0.4013,0.2179,0.2219,0.0404,0.0604,0.0568,0.0013,0.15135542809310362,0.025548657505210372
403,GRASS PLANTS,Grass,Malt,Husk,50.14,6.29,33.46,55.78,7.0,37.22,0.3095,0.1358,0.3862,0.0009,0.0573,0.1102,0.0,0.14425705326113303,0.020240846349437628
404,WOOD PLANTS,Hardwood,Olive ,Residue - Pressed Cake,49.20,5.40,37.90,53.19,5.84,40.97,0.4434,0.1724,0.0332,0.0,0.2502,0.0124,0.0884,0.27095457277336776,0.045039198050007195
405,WOOD PLANTS,Softwood,Pine,Needles,48.21,6.57,43.72,48.94,6.67,44.39,0.5859,0.2571,0.0458,0.0002,0.0068,0.1042,0.0,0.1909496313438565,0.030635235204382466
406,WOOD PLANTS,Hardwood,Olive,Orujillo,50.00,6.50,36.30,53.88,7.0,39.12,0.4198,0.1842,0.1939,0.0065,0.0297,0.166,0.0,0.13766367475422825,0.017160769827744306
407,GRASS PLANTS,Grass,Switchgrass,-,47.76,5.77,37.91,52.23,6.31,41.46,0.3319,0.1456,0.002,0.1146,0.0178,0.0,0.3881,0.09707111261108509,0.011643462053175463
408,WOOD PLANTS,Hardwood,Lemon,Pellets,44.48,6.47,44.33,46.68,6.79,46.53,Outsider,,,,,,,,
409,WOOD PLANTS,Hardwood,Olive,Pit,49.85,6.59,39.06,52.2,6.9,40.9,0.4778,0.2096,0.1404,0.0035,0.0213,0.1473,0.0,0.14990603380288578,0.020042904578897718
410,WOOD PLANTS,Hardwood,Olive,Pit,48.71,6.18,42.16,50.19,6.37,43.44,0.4599,0.2447,0.133,0.085,0.0143,0.0588,0.0042,0.15417361276510644,0.02702308653821976
411,GRASS PLANTS,Vegetables,Asparagus,Fern,45.76,6.02,36.79,51.67,6.79,41.54,0.3532,0.155,0.0014,0.2716,0.0417,0.0,0.1771,0.1037533990077207,0.01727223990302708
412,WOOD PLANTS,Hardwood,Prune,Pit,49.47,6.25,42.67,50.28,6.35,43.37,0.4598,0.1976,0.0498,0.1792,0.0404,0.0294,0.0438,0.1443214357406934,0.02663560283187602
413,WOOD PLANTS,Hardwood,Ecoblock,briquettes,51.48,5.92,42.03,51.78,5.95,42.27,0.4406,0.183,0.0521,0.1112,0.1296,0.0241,0.0594,0.15920086762193758,0.027911457743545004
414,WOOD PLANTS,Hardwood,Palm,Pit,48.11,6.64,36.79,52.56,7.25,40.2,0.4258,0.1928,0.0988,0.0523,0.1621,0.0328,0.0355,0.1937532826950347,0.03312304256876769
415,WOOD PLANTS,Hardwood,Cherry,Pit,53.41,7.04,38.05,54.22,7.15,38.63,0.4244,0.1862,0.1627,0.0052,0.0249,0.1967,0.0,0.1363751072655814,0.015647636962415088
416,WOOD PLANTS,Hardwood,Peach,Pit,53.15,7.19,35.86,55.24,7.48,37.28,0.4231,0.1856,0.111,0.0005,0.0165,0.2633,0.0,0.1261576029784321,0.011984774192799204
